SOORT HO;PROVINCIE;BEVOEGD GEZAG NUMMER;BRIN NUMMER;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
hbo;Friesland;30156;31FR;NHL Stenden Hogeschool;Rengerslaan;10;8917 DD;LEEUWARDEN;0080;LEEUWARDEN;Overige;0582512345;www.nhl.nl;Postbus;1080;8900 CB;LEEUWARDEN;10;Leeuwarden;04;Fryslân;04;Friesland-Noord;04;Noord-Friesland;03;Friesland;04;Friesland Noord
hbo;Gelderland;40235;25BA;Christelijke Hogeschool Ede;Oude Kerkweg;100;6717 JS;EDE GLD;0228;EDE;Protestants-Christelijk;0318696300;www.che.nl;Postbus;80;6710 BB;EDE GLD;29;Ede;10;De Vallei;16;Eem en Vallei;13;Veluwe;09;Arnhem en omstreken;16;Eem en Vallei
hbo;Gelderland;40687;30TX;Aeres Hogeschool;Bovenbuurtweg;27;6717 XA;EDE GLD;0228;EDE;Overige;0880207000;www.aereshogeschool.nl;Postbus;245;6710 BE;EDE GLD;29;Ede;10;De Vallei;16;Eem en Vallei;13;Veluwe;09;Arnhem en omstreken;16;Eem en Vallei
hbo;Gelderland;41292;27NF;ArtEZ;Onderlangs;9;6812 CE;ARNHEM;0202;ARNHEM;Algemeen bijzonder;0263535600;www.artez.nl;Postbus;49;6800 AA;ARNHEM;26;Arnhem;11;IJssel en Rijn;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;09;Arnhem en omstreken;41;Arnhem
hbo;Gelderland;41344;30HD;Hogeschool Van Hall Larenstein;Larensteinselaan;26-A;6882 CT;VELP GLD;0275;RHEDEN;Algemeen bijzonder;0263695695;www.vanhall-larenstein.nl;Postbus;9001;6880 GB;VELP GLD;26;Arnhem;11;IJssel en Rijn;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;09;Arnhem en omstreken;41;Arnhem
hbo;Gelderland;41618;09OT;Iselinge Hogeschool;Bachlaan;11;7002 MZ;DOETINCHEM;0222;DOETINCHEM;Samenwerking Opb., PC, RK, Alg;0880931000;www.iselingehogeschool.nl;Postbus;277;7000 AG;DOETINCHEM;25;Doetinchem;12;Achterhoek;13;Oost-Gelderland;14;Achterhoek;08;Zuidelijke Achterhoek;13;Achterhoek
hbo;Gelderland;72243;25KB;Hogeschool van Arnhem en Nijmegen;Ruitenberglaan;31;6826 CC;ARNHEM;0202;ARNHEM;Algemeen bijzonder;0263691555;www.han.nl/;Postbus;5375;6802 EJ;ARNHEM;26;Arnhem;11;IJssel en Rijn;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;09;Arnhem en omstreken;41;Arnhem
hbo;Groningen;40169;25BE;Hanzehogeschool, Hogeschool van Groningen;Zernikeplein;1;9747 AS;GRONINGEN;0014;GRONINGEN;Algemeen bijzonder;0505955610;www.hanze.nl/;Postbus;30030;9700 RM;GRONINGEN;01;Groningen;03;Centraal-Groningen;03;Centraal en westelijk Groningen;03;Overig Groningen;01;Groningen en omstreken;03;Centraal en Westelijk Groningen
hbo;Limburg;41128;25JX;Zuyd Hogeschool;Nieuw-Eyckholt;300;6419 DJ;HEERLEN;0917;HEERLEN;Algemeen bijzonder;0454006060;www.hszuyd.nl/;Postbus;550;6400 AN;HEERLEN;79;Heerlen;33;Parkstad Limburg;41;Oostelijk Zuid-Limburg;39;Zuid-Limburg;25;Zuid-Limburg;39;Gewest Zuid-Limburg
hbo;Noord-Brabant;30183;07GR;Avans Hogeschool;Prof Cobbenhagenlaan;13;5037 DA;TILBURG;0855;TILBURG;Rooms-Katholiek;0135958100;www.avans.nl;Postbus;90116;4800 RA;BREDA;68;Tilburg;26;Midden-Brabant;35;Midden-Brabant;34;Midden-Noord-Brabant;21;Tilburg en omstreken;35;Midden-Brabant
